km secondoMin; f0 secondoMin;km secondoMinMetà;f0 secondoMinMetà;km Max;f0 Max
881;500.568;1;44100;286;154
881;500.568;1;44100;302;146
1763;250.142;1;44100;317;139
1763;250.142;1;44100;345;128
881;500.568;1;44100;297;149
881;500.568;1;44100;82;538
3527;125.035;1;44100;62;711
5291;833.491;1;44100;65;678
2645;16.673;1;44100;86;513
2645;16.673;1;44100;58;760
14111;312.522;1;44100;104;424
6173;714.401;1;44100;61;723
881;500.568;1;44100;52;848
881;500.568;1;44100;143;308
8819;500.057;1;44100;80;551
19403;227.284;1;44100;61;723
7055;625.089;1;44100;86;513
18521;238.108;1;44100;71;621
5291;833.491;1;44100;92;479
9701;454.592;1;44100;69;639
25577;172.421;1;44100;59;747
12347;357.172;1;44100;92;479
881;500.568;1;44100;84;525
7937;555.626;1;44100;79;558
18521;238.108;1;44100;103;428
13229;333.359;1;44100;263;168
7937;555.626;1;44100;69;639
6173;714.401;1;44100;70;630
25577;172.421;1;44100;70;630
18521;238.108;1;44100;76;580
7937;555.626;1;44100;65;678
9701;454.592;1;44100;84;525
4409;100.023;1;44100;97;455
5291;833.491;1;44100;91;485
13229;333.359;1;44100;99;445
2645;16.673;1;44100;158;279
5291;833.491;1;44100;82;538
3527;125.035;1;44100;73;604
13229;333.359;1;44100;104;424
11465;384.649;1;44100;257;172
8819;500.057;1;44100;95;464
10583;416.706;1;44100;55;802
2645;16.673;1;44100;63;700
13229;333.359;1;44100;82;538
12347;357.172;1;44100;74;596
11465;384.649;1;44100;80;551
18521;238.108;1;44100;67;658
881;500.568;1;44100;75;588
9701;454.592;1;44100;71;621
16757;263.174;1;44100;76;580
7937;555.626;1;44100;79;558
11465;384.649;1;44100;66;668
22049;200.009;1;44100;75;588
9701;454.592;1;44100;61;723
14111;312.522;1;44100;66;668
11465;384.649;1;44100;69;639
10583;416.706;1;44100;78;565
21167;208.343;1;44100;67;658
14993;294.137;1;44100;61;723
4409;100.023;1;44100;71;621
7055;625.089;1;44100;210;210
30869;142.862;1;44100;63;700
14993;294.137;1;44100;64;689
881;500.568;1;44100;317;139
881;500.568;1;44100;441;100
881;500.568;1;44100;320;138
881;500.568;1;44100;368;120
881;500.568;1;44100;56;788
3527;125.035;1;44100;120;368
3527;125.035;1;44100;69;639
13229;333.359;1;44100;78;565
9701;454.592;1;44100;68;649
21167;208.343;1;44100;76;580
881;500.568;1;44100;93;474
8819;500.057;1;44100;74;596
19403;227.284;1;44100;76;580
10583;416.706;1;44100;71;621
5291;833.491;1;44100;227;194
9701;454.592;1;44100;78;565
5291;833.491;1;44100;100;441
7937;555.626;1;44100;57;774
7055;625.089;1;44100;73;604
3527;125.035;1;44100;102;432
2645;16.673;1;44100;75;588
7937;555.626;1;44100;72;613
21167;208.343;1;44100;84;525
5291;833.491;1;44100;74;596
5291;833.491;1;44100;68;649
7055;625.089;1;44100;77;573
4409;100.023;1;44100;83;531
